idade,data,estado,salario,nivel_educacao,numero_filhos,estado_civil,area_atuacao
55,21/07/1968,Amazonas,4405.56,Ensino Médio,2,Casado,Educação
42,23/07/1981,Piauí,4501.08,Ensino Médio,0,Casado,Saúde
21,18/07/2002,Amazonas,2386.33,Ensino Fundamental,0,Viúvo,Educação
18,04/06/2005,Mato Grosso do Sul,3485.57,Ensino Fundamental,1,Casado,Tecnologia
28,23/01/1996,Roraima,3441.77,Ensino Médio,0,Solteiro,Saúde
83,17/10/1940,Goiás,3432.61,Ensino Médio,1,Casado,Indústria
65,30/07/1958,Maranhão,7609.68,Ensino Fundamental,3,Casado,Indústria
23,04/12/2000,Rondônia,3468.81,Ensino Fundamental,1,Divorciado,Tecnologia
78,12/10/1945,Espírito Santo,5986.45,Ensino Médio,1,Solteiro,Comércio
22,25/09/2001,Rio Grande do Sul,5093.49,Ensino Médio,2,Solteiro,Indústria
39,03/06/1984,Paraná,3446.2,Ensino Médio,0,Casado,Indústria
54,18/06/1969,Pará,8094.16,Ensino Médio,4,Solteiro,Tecnologia
28,11/07/1995,Amazonas,5517.69,Ensino Médio,3,Casado,Indústria
24,22/12/1999,Bahia,3057.43,Ensino Fundamental,1,Solteiro,Indústria
49,26/04/1974,Goiás,4611.62,Ensino Médio,0,Casado,Comércio
30,11/12/1993,Rio Grande do Sul,6082.64,Ensino Médio,3,Solteiro,Indústria
47,19/03/1977,Distrito Federal,19730.97,Ensino Superior,2,Casado,Tecnologia
56,12/09/1967,Amazonas,4895.37,Ensino Médio,0,Casado,Tecnologia
22,18/02/2002,Amazonas,4746.11,Ensino Médio,1,Solteiro,Educação
22,17/08/2001,Espírito Santo,9137.8,Ensino Superior,0,Solteiro,Indústria
18,28/12/2005,Pernambuco,2788.97,Ensino Médio,1,Casado,Comércio
19,22/09/2004,São Paulo,2936.85,Ensino Médio,3,Casado,Indústria
21,07/01/2003,Roraima,2892.95,Ensino Fundamental,1,Casado,Educação
59,26/10/1964,Pará,17026.17,Ensino Superior,0,Casado,Tecnologia
22,10/11/2001,Goiás,5185.59,Ensino Médio,2,Solteiro,Comércio
57,03/04/1967,Rondônia,4204.97,Ensino Médio,3,Divorciado,Educação
53,29/09/1970,Bahia,8967.94,Ensino Médio,1,Casado,Comércio
23,25/01/2001,Pernambuco,8801.98,Ensino Superior,0,Casado,Tecnologia
88,04/12/1935,Amazonas,2813.73,Ensino Fundamental,2,Solteiro,Saúde
25,10/08/1998,Distrito Federal,4038.33,Ensino Médio,1,Casado,Comércio
88,17/03/1936,Goiás,4843.84,Ensino Superior,0,Solteiro,Tecnologia
18,14/02/2006,Acre,7335.02,Ensino Médio,0,Casado,Tecnologia
24,24/07/1999,Maranhão,5096.93,Ensino Médio,0,Solteiro,Educação
65,03/06/1958,Paraíba,13917.07,Ensino Médio,0,Viúvo,Indústria
18,24/03/2006,Distrito Federal,6734.71,Pós-graduação,2,Casado,Educação
19,12/01/2005,Sergipe,8549.4,Pós-graduação,4,Casado,Indústria
85,04/01/1939,Santa Catarina,13081.43,Ensino Médio,2,Casado,Indústria
59,07/11/1964,São Paulo,12474.65,Ensino Superior,0,Casado,Educação
34,01/07/1989,Piauí,7565.66,Pós-graduação,2,Solteiro,Tecnologia
37,23/09/1986,Goiás,10279.89,Ensino Médio,0,Casado,Tecnologia
33,01/12/1990,Sergipe,10491.23,Ensino Superior,0,Casado,Tecnologia
61,11/12/1962,Minas Gerais,4189.37,Ensino Médio,0,Solteiro,Educação
30,05/03/1994,Amazonas,4253.02,Ensino Superior,0,Casado,Comércio
19,13/03/2005,São Paulo,3472.01,Ensino Médio,4,Casado,Saúde
27,26/07/1996,São Paulo,5043.59,Ensino Médio,5,Solteiro,Tecnologia
53,14/02/1971,Pernambuco,16878.91,Pós-graduação,2,Casado,Educação
45,24/12/1978,Roraima,9106.5,Ensino Médio,0,Solteiro,Saúde
40,17/12/1983,Distrito Federal,6051.48,Ensino Fundamental,3,Solteiro,Tecnologia
43,06/04/1981,Rondônia,6732.19,Ensino Médio,0,Casado,Comércio
27,17/10/1996,Minas Gerais,2975.55,Ensino Médio,0,Divorciado,Indústria
45,02/08/1978,Paraíba,11210.57,Ensino Superior,1,Solteiro,Comércio
22,10/12/2001,Mato Grosso,4559.16,Ensino Superior,0,Casado,Educação
39,22/05/1984,Amapá,4054.92,Ensino Fundamental,0,Solteiro,Comércio
55,28/01/1969,Tocantins,12509.8,Pós-graduação,1,Casado,Saúde
59,12/08/1964,Acre,3654.98,Ensino Fundamental,1,Divorciado,Comércio
49,10/01/1975,Rio de Janeiro,8611.1,Ensino Superior,0,Casado,Saúde
63,07/11/1960,Rio Grande do Sul,6666.87,Ensino Médio,2,Casado,Comércio
19,04/02/2005,Pernambuco,1593.65,Ensino Fundamental,1,Solteiro,Educação
20,12/10/2003,Rio Grande do Sul,5069.23,Ensino Médio,0,Solteiro,Saúde
56,25/10/1967,Pernambuco,11820.72,Ensino Superior,1,Divorciado,Saúde
53,25/02/1971,Pernambuco,14303.7,Ensino Superior,2,Viúvo,Tecnologia
61,05/04/1963,Rondônia,4946.28,Ensino Médio,0,Solteiro,Comércio
54,30/09/1969,Roraima,5003.55,Ensino Médio,1,Divorciado,Educação
43,04/10/1980,Rondônia,5648.23,Ensino Médio,3,Casado,Saúde
18,05/01/2006,Espírito Santo,6662.12,Ensino Superior,0,Solteiro,Educação
52,22/06/1971,Mato Grosso do Sul,7833.93,Ensino Médio,1,Casado,Indústria
79,24/09/1944,Santa Catarina,2999.89,Ensino Fundamental,0,Casado,Indústria
42,14/05/1981,Bahia,7863.54,Ensino Superior,4,Casado,Tecnologia
31,29/11/1992,Espírito Santo,2540.53,Ensino Fundamental,0,Divorciado,Indústria
33,28/03/1991,Maranhão,6179.44,Ensino Médio,1,Casado,Saúde
64,09/08/1959,Mato Grosso,7677.11,Ensino Fundamental,0,Solteiro,Indústria
22,11/01/2002,Bahia,5261.29,Ensino Médio,2,Casado,Educação
63,12/02/1961,Goiás,4388.63,Ensino Fundamental,0,Solteiro,Tecnologia
25,24/09/1998,Rio Grande do Sul,7653.98,Ensino Médio,1,Casado,Saúde
54,29/06/1969,Acre,3615.51,Ensino Médio,0,Solteiro,Tecnologia
27,04/05/1996,Rio Grande do Norte,6736.01,Ensino Médio,3,Casado,Indústria
48,09/12/1975,Ceará,8778.35,Ensino Médio,0,Casado,Comércio
29,23/09/1994,Bahia,5750.17,Ensino Superior,0,Solteiro,Comércio
77,13/05/1946,Tocantins,12245.98,Ensino Médio,0,Solteiro,Saúde
47,15/06/1976,Rondônia,7152.08,Ensino Médio,1,Casado,Indústria
47,26/02/1977,Rio Grande do Norte,5305.75,Ensino Superior,1,Casado,Indústria
43,10/06/1980,Distrito Federal,4721.31,Ensino Médio,1,Casado,Educação
31,07/02/1993,Acre,6056.4,Ensino Médio,0,Casado,Comércio
18,26/07/2005,Amazonas,2386.9,Ensino Fundamental,1,Casado,Educação
20,09/11/2003,Santa Catarina,1700.15,Ensino Fundamental,2,Casado,Comércio
36,27/09/1987,Paraná,3861.92,Ensino Fundamental,0,Casado,Comércio
47,24/10/1976,Amazonas,6081.45,Ensino Médio,0,Casado,Saúde
30,26/09/1993,Amapá,5101.38,Ensino Superior,0,Casado,Saúde
29,18/12/1994,Ceará,2443.38,Ensino Médio,0,Casado,Comércio
48,23/03/1976,Sergipe,10761.24,Ensino Superior,1,Casado,Comércio
46,02/01/1978,Pernambuco,10789.48,Ensino Médio,1,Casado,Saúde
44,29/12/1979,Rondônia,6303.77,Ensino Médio,2,Casado,Indústria
56,13/05/1967,Amazonas,13937.67,Ensino Médio,0,Casado,Tecnologia
34,01/05/1989,Tocantins,11127.47,Ensino Superior,2,Casado,Saúde
46,24/12/1977,Distrito Federal,12216.39,Ensino Superior,3,Casado,Saúde
35,25/04/1988,Tocantins,8219.17,Ensino Médio,0,Casado,Saúde
60,02/02/1964,Minas Gerais,4739.76,Ensino Fundamental,1,Casado,Indústria
36,05/09/1987,Mato Grosso do Sul,7769.92,Ensino Médio,2,Casado,Saúde
34,12/01/1990,Acre,14499.59,Ensino Superior,0,Solteiro,Saúde
21,03/04/2003,Roraima,2913.21,Ensino Fundamental,2,Casado,Tecnologia
64,12/03/1960,Rio de Janeiro,4401.9,Ensino Superior,0,Casado,Comércio
23,24/11/2000,Piauí,5183.17,Ensino Médio,0,Casado,Indústria
58,18/04/1965,Pernambuco,20538.3,Ensino Superior,0,Casado,Saúde
24,17/02/2000,Rondônia,4650.45,Ensino Superior,1,Casado,Educação
30,19/05/1993,Alagoas,3963.92,Ensino Fundamental,0,Casado,Comércio
51,27/06/1972,Maranhão,8590.86,Ensino Superior,0,Solteiro,Comércio
34,28/04/1989,Amapá,4162.27,Ensino Médio,3,Solteiro,Saúde
18,06/10/2005,Mato Grosso do Sul,4557.42,Ensino Médio,2,Divorciado,Comércio
63,24/11/1960,Sergipe,8395.68,Ensino Superior,0,Casado,Comércio
20,16/08/2003,Paraná,5629.47,Ensino Médio,1,Casado,Indústria
21,18/11/2002,Pará,6410.17,Ensino Médio,0,Casado,Indústria
79,08/10/1944,Piauí,4609.63,Ensino Médio,1,Casado,Educação
31,14/10/1992,Ceará,2858.06,Ensino Fundamental,3,Solteiro,Tecnologia
22,28/10/2001,Rio Grande do Sul,4336.68,Ensino Médio,1,Solteiro,Indústria
65,11/02/1959,Ceará,7795.33,Ensino Médio,0,Solteiro,Comércio
24,11/07/1999,Mato Grosso,7183.26,Ensino Superior,2,Casado,Saúde
52,09/05/1971,Sergipe,11539.21,Ensino Médio,1,Solteiro,Comércio
37,29/04/1986,Distrito Federal,3578.94,Ensino Médio,0,Casado,Comércio
23,23/01/2001,Amazonas,11301.55,Pós-graduação,0,Casado,Tecnologia
43,03/09/1980,Pernambuco,14621.56,Pós-graduação,1,Casado,Comércio
40,03/09/1983,Espírito Santo,8943.72,Ensino Médio,0,Solteiro,Comércio
18,17/10/2005,Rio de Janeiro,3379.71,Ensino Fundamental,0,Solteiro,Comércio
30,26/09/1993,Pernambuco,7044.22,Ensino Médio,1,Casado,Comércio
50,28/07/1973,Goiás,2431.25,Ensino Fundamental,0,Casado,Saúde
56,11/08/1967,Piauí,16055.04,Pós-graduação,1,Casado,Saúde
29,03/12/1994,Santa Catarina,12823.21,Ensino Superior,3,Casado,Tecnologia
65,12/11/1958,Paraíba,7668.86,Ensino Superior,0,Casado,Indústria
25,28/12/1998,Minas Gerais,3096.79,Ensino Médio,1,Casado,Comércio
46,19/12/1977,Sergipe,17877.27,Ensino Superior,1,Divorciado,Tecnologia
46,11/03/1978,Amazonas,6958.11,Ensino Médio,3,Solteiro,Educação
47,27/08/1976,Alagoas,6181.7,Ensino Médio,2,Casado,Saúde
39,10/06/1984,Amazonas,6191.66,Ensino Médio,1,Viúvo,Educação
31,06/03/1993,Goiás,9181.32,Ensino Médio,0,Divorciado,Tecnologia
53,10/06/1970,Sergipe,9347.17,Ensino Médio,0,Divorciado,Tecnologia
47,10/11/1976,São Paulo,4709.05,Ensino Médio,1,Casado,Indústria
31,16/07/1992,Minas Gerais,6317.55,Ensino Superior,0,Solteiro,Tecnologia
26,25/01/1998,Piauí,9365.53,Ensino Superior,4,Casado,Indústria
48,21/06/1975,Sergipe,10701.87,Ensino Superior,1,Casado,Tecnologia
28,07/05/1995,Maranhão,4655.06,Ensino Médio,1,Casado,Comércio
37,20/12/1986,Paraná,3529.75,Ensino Médio,1,Casado,Saúde
20,15/06/2003,Amapá,1577.65,Ensino Fundamental,0,Casado,Educação
34,14/03/1990,Minas Gerais,11255.37,Ensino Médio,2,Solteiro,Tecnologia
31,20/02/1993,Amazonas,10630.62,Ensino Superior,0,Casado,Comércio
24,01/05/1999,Goiás,4046.64,Ensino Médio,0,Casado,Educação
57,16/05/1966,Maranhão,10236.07,Ensino Médio,3,Divorciado,Saúde
30,21/03/1994,Roraima,2087.78,Ensino Fundamental,0,Casado,Educação
52,03/02/1972,Rio Grande do Norte,5300.92,Ensino Médio,4,Solteiro,Educação
19,08/11/2004,Alagoas,2850.48,Ensino Fundamental,1,Casado,Tecnologia
54,26/06/1969,Maranhão,16866.83,Ensino Superior,0,Solteiro,Comércio
39,11/05/1984,Maranhão,7552.46,Ensino Médio,1,Casado,Indústria
23,31/03/2001,Espírito Santo,3104.81,Ensino Médio,0,Casado,Comércio
47,12/12/1976,Santa Catarina,4280.54,Ensino Médio,0,Solteiro,Tecnologia
40,15/09/1983,Rondônia,4179.46,Ensino Fundamental,1,Casado,Tecnologia
32,03/04/1992,Rio Grande do Norte,7044.61,Ensino Médio,0,Solteiro,Indústria
33,10/02/1991,Mato Grosso,7076.26,Ensino Médio,2,Divorciado,Saúde
34,13/12/1989,Tocantins,2862.46,Ensino Fundamental,0,Solteiro,Indústria
20,08/04/2004,Rio de Janeiro,2250.39,Ensino Fundamental,0,Solteiro,Saúde
23,02/11/2000,Pará,4112.94,Ensino Fundamental,3,Casado,Saúde
58,23/07/1965,Mato Grosso,12102.74,Ensino Superior,1,Casado,Educação
31,01/09/1992,Roraima,4600.74,Ensino Médio,0,Casado,Educação
43,20/12/1980,Santa Catarina,5410.0,Ensino Médio,1,Casado,Indústria
23,18/04/2000,Piauí,2436.39,Ensino Fundamental,0,Casado,Educação
24,20/02/2000,Maranhão,1688.33,Ensino Fundamental,1,Divorciado,Educação
18,26/11/2005,Paraná,4458.81,Ensino Superior,1,Casado,Educação
48,21/07/1975,Goiás,6116.88,Ensino Médio,0,Casado,Saúde
21,11/04/2003,Rondônia,6802.31,Ensino Médio,0,Casado,Tecnologia
48,26/02/1976,Acre,3908.1,Ensino Médio,3,Divorciado,Comércio
82,04/07/1941,Paraná,4372.02,Ensino Médio,1,Divorciado,Indústria
54,24/11/1969,Pernambuco,5877.38,Ensino Fundamental,0,Casado,Saúde
39,09/08/1984,Distrito Federal,3001.45,Ensino Fundamental,0,Casado,Indústria
49,21/04/1974,Acre,17080.77,Ensino Superior,0,Viúvo,Saúde
62,17/01/1962,Bahia,22723.87,Pós-graduação,1,Solteiro,Saúde
24,24/09/1999,Minas Gerais,4600.44,Ensino Médio,2,Casado,Educação
50,07/09/1973,Ceará,5919.06,Ensino Fundamental,3,Casado,Tecnologia
68,12/01/1956,Acre,8226.63,Ensino Médio,0,Solteiro,Saúde
49,07/11/1974,Rio de Janeiro,9879.24,Ensino Médio,3,Solteiro,Tecnologia
48,02/03/1976,Santa Catarina,11552.93,Ensino Médio,0,Divorciado,Saúde
54,16/09/1969,Paraná,5273.75,Ensino Médio,2,Casado,Saúde
22,23/09/2001,Rondônia,7947.42,Ensino Superior,1,Casado,Saúde
53,14/01/1971,Pernambuco,10567.52,Ensino Superior,0,Casado,Saúde
25,04/05/1998,São Paulo,3366.68,Ensino Médio,2,Casado,Saúde
27,04/07/1996,Piauí,2890.9,Ensino Médio,1,Casado,Indústria
44,05/08/1979,Goiás,3328.35,Ensino Médio,0,Solteiro,Saúde
28,10/11/1995,Rondônia,4141.99,Ensino Fundamental,4,Casado,Comércio
53,22/11/1970,Mato Grosso do Sul,5328.74,Ensino Médio,1,Casado,Educação
28,28/06/1995,Distrito Federal,7515.56,Ensino Médio,1,Solteiro,Tecnologia
55,23/08/1968,Alagoas,3559.5,Ensino Fundamental,0,Casado,Educação
27,30/10/1996,Mato Grosso,5290.65,Ensino Médio,0,Casado,Educação
24,18/02/2000,Espírito Santo,11576.19,Ensino Superior,0,Casado,Saúde
41,18/12/1982,Rondônia,7211.05,Ensino Médio,1,Solteiro,Tecnologia
27,17/08/1996,Piauí,4641.33,Ensino Fundamental,0,Divorciado,Saúde
58,10/12/1965,Distrito Federal,11024.1,Ensino Médio,0,Casado,Saúde
29,27/02/1995,Amapá,1622.01,Ensino Fundamental,0,Solteiro,Educação
21,23/04/2002,Paraíba,4249.77,Ensino Superior,2,Casado,Educação
22,09/02/2002,Maranhão,4717.64,Ensino Médio,2,Casado,Indústria
37,13/02/1987,Roraima,4854.06,Ensino Médio,1,Solteiro,Comércio
23,26/04/2000,Alagoas,3346.05,Ensino Fundamental,4,Casado,Educação
39,15/08/1984,Distrito Federal,8933.86,Ensino Médio,3,Divorciado,Tecnologia
55,11/06/1968,Amazonas,8467.03,Ensino Médio,1,Casado,Tecnologia
38,07/12/1985,Espírito Santo,2572.05,Ensino Fundamental,0,Casado,Comércio
49,01/01/1975,Goiás,5140.76,Ensino Médio,1,Casado,Comércio
46,09/01/1978,Acre,10092.79,Ensino Superior,5,Solteiro,Indústria
58,22/02/1966,Tocantins,6074.02,Ensino Médio,0,Solteiro,Educação
30,19/08/1993,Santa Catarina,6463.25,Ensino Médio,1,Solteiro,Indústria
57,11/05/1966,Bahia,11597.37,Ensino Médio,2,Viúvo,Saúde
48,11/05/1975,Amazonas,9033.76,Ensino Médio,0,Solteiro,Indústria
41,22/05/1982,Paraná,4647.58,Ensino Médio,1,Solteiro,Educação
36,18/11/1987,Pará,3020.45,Ensino Fundamental,1,Divorciado,Indústria
39,21/03/1985,Tocantins,5991.79,Ensino Fundamental,1,Casado,Indústria
73,27/08/1950,Rio Grande do Norte,3273.41,Ensino Médio,1,Divorciado,Educação
42,28/06/1981,São Paulo,10692.23,Ensino Superior,1,Casado,Comércio
64,18/11/1959,Tocantins,6614.18,Ensino Médio,0,Solteiro,Comércio
19,13/01/2005,Distrito Federal,3861.39,Ensino Médio,0,Casado,Indústria
30,09/03/1994,Mato Grosso,8576.27,Ensino Superior,3,Casado,Comércio
27,18/02/1997,Paraíba,3161.43,Ensino Médio,0,Casado,Educação
24,28/12/1999,Pará,7933.51,Ensino Superior,0,Casado,Tecnologia
44,13/07/1979,Paraíba,4506.34,Ensino Médio,1,Divorciado,Comércio
25,30/05/1998,Santa Catarina,12669.21,Pós-graduação,5,Solteiro,Saúde
24,24/10/1999,Roraima,2908.89,Ensino Fundamental,1,Casado,Comércio
64,09/11/1959,Rondônia,13497.12,Ensino Superior,1,Divorciado,Saúde
58,11/05/1965,Ceará,10228.03,Ensino Médio,4,Casado,Tecnologia
82,06/03/1942,Ceará,6292.86,Ensino Fundamental,0,Solteiro,Tecnologia
37,12/07/1986,Acre,5506.88,Ensino Fundamental,2,Divorciado,Comércio
57,12/11/1966,Mato Grosso do Sul,5278.49,Ensino Médio,0,Solteiro,Educação
29,21/08/1994,Bahia,6294.38,Pós-graduação,3,Casado,Educação
23,27/04/2000,Amazonas,3252.11,Ensino Médio,0,Casado,Saúde
62,21/01/1962,Paraíba,6297.94,Ensino Médio,2,Casado,Indústria
43,19/09/1980,Amapá,7872.74,Ensino Médio,0,Casado,Tecnologia
27,08/03/1997,Rio Grande do Norte,8061.9,Ensino Superior,0,Casado,Educação
46,20/11/1977,Minas Gerais,5608.86,Ensino Fundamental,1,Casado,Comércio
59,18/01/1965,Rio Grande do Sul,12570.16,Ensino Médio,2,Casado,Indústria
38,21/03/1986,Paraná,5056.91,Ensino Fundamental,1,Casado,Educação
60,17/06/1963,Santa Catarina,11366.2,Ensino Médio,2,Casado,Tecnologia
28,24/11/1995,Amazonas,4526.72,Ensino Superior,2,Casado,Indústria
47,13/02/1977,Rio de Janeiro,4512.87,Ensino Médio,0,Casado,Tecnologia
32,08/03/1992,Amapá,3301.54,Ensino Médio,1,Solteiro,Indústria
29,30/09/1994,Paraná,6339.02,Ensino Médio,2,Casado,Indústria
49,06/03/1975,Pará,9258.55,Ensino Superior,0,Casado,Comércio
29,29/11/1994,Santa Catarina,6184.25,Ensino Superior,0,Solteiro,Tecnologia
37,10/07/1986,Tocantins,3750.12,Ensino Médio,1,Viúvo,Saúde
29,08/11/1994,Pará,6175.1,Ensino Superior,0,Casado,Educação
28,06/09/1995,Santa Catarina,4219.65,Ensino Fundamental,0,Divorciado,Tecnologia
62,12/12/1961,Minas Gerais,16177.35,Pós-graduação,2,Casado,Tecnologia
29,17/04/1994,Rio Grande do Norte,5774.08,Ensino Médio,1,Casado,Indústria
40,08/12/1983,Minas Gerais,2053.74,Ensino Fundamental,2,Casado,Saúde
40,30/01/1984,Espírito Santo,7137.4,Ensino Médio,1,Casado,Saúde
29,16/02/1995,Mato Grosso do Sul,5311.03,Ensino Médio,2,Solteiro,Tecnologia
25,08/12/1998,Piauí,2342.22,Ensino Médio,2,Casado,Educação
34,27/03/1990,Paraíba,6652.8,Ensino Médio,1,Casado,Comércio
35,30/12/1988,Minas Gerais,10370.07,Pós-graduação,3,Solteiro,Saúde
63,05/06/1960,Rondônia,7950.42,Ensino Médio,0,Solteiro,Indústria
34,06/08/1989,Rio Grande do Norte,5346.57,Ensino Médio,1,Casado,Tecnologia
18,18/11/2005,Goiás,5029.46,Ensino Médio,1,Casado,Educação
22,29/08/2001,Pará,5598.33,Ensino Médio,0,Divorciado,Saúde
46,31/01/1978,Rio Grande do Sul,8339.84,Ensino Médio,3,Casado,Tecnologia
43,23/09/1980,Santa Catarina,7961.51,Ensino Médio,1,Casado,Tecnologia
21,13/04/2002,Maranhão,3880.5,Ensino Fundamental,1,Divorciado,Indústria
23,19/10/2000,Mato Grosso do Sul,2698.56,Ensino Fundamental,0,Casado,Indústria
35,25/12/1988,Rondônia,6410.79,Ensino Superior,1,Casado,Comércio
29,04/03/1995,Pernambuco,2229.1,Ensino Fundamental,0,Casado,Educação
46,27/09/1977,Pernambuco,20522.57,Pós-graduação,2,Solteiro,Saúde
22,29/09/2001,Ceará,3494.66,Ensino Médio,1,Casado,Indústria
45,13/04/1978,Rio de Janeiro,3141.15,Ensino Médio,1,Divorciado,Educação
43,23/08/1980,Ceará,3922.83,Ensino Médio,0,Casado,Educação
36,14/08/1987,Bahia,3147.37,Ensino Médio,1,Casado,Indústria
18,26/03/2006,Maranhão,11196.44,Ensino Superior,1,Casado,Tecnologia
25,31/10/1998,Rio Grande do Sul,3106.34,Ensino Médio,0,Casado,Comércio
24,01/11/1999,Mato Grosso,3892.44,Ensino Fundamental,1,Casado,Educação
59,26/01/1965,Santa Catarina,10750.77,Ensino Superior,0,Casado,Educação
48,14/05/1975,Goiás,2155.99,Ensino Fundamental,1,Viúvo,Comércio
32,26/11/1991,Rondônia,4764.25,Ensino Fundamental,0,Viúvo,Saúde
45,11/06/1978,Maranhão,7378.17,Ensino Médio,1,Casado,Saúde
22,05/05/2001,Distrito Federal,2440.31,Ensino Fundamental,2,Casado,Comércio
73,17/01/1951,Mato Grosso,8561.85,Ensino Médio,0,Solteiro,Tecnologia
30,02/05/1993,Bahia,7874.45,Ensino Médio,2,Casado,Indústria
57,29/03/1967,Mato Grosso do Sul,3777.83,Ensino Fundamental,0,Casado,Indústria
23,04/08/2000,Goiás,10281.13,Pós-graduação,0,Solteiro,Indústria
32,16/08/1991,Ceará,5342.0,Ensino Médio,2,Casado,Saúde
58,29/06/1965,Rio Grande do Norte,8660.96,Ensino Médio,3,Solteiro,Indústria
45,12/02/1979,Mato Grosso,14945.18,Ensino Médio,0,Solteiro,Tecnologia
47,14/06/1976,Santa Catarina,11114.65,Ensino Superior,0,Solteiro,Tecnologia
64,25/08/1959,Goiás,18940.93,Ensino Superior,0,Casado,Tecnologia
22,18/11/2001,Alagoas,6437.54,Ensino Médio,0,Casado,Indústria
41,27/06/1982,Mato Grosso,1936.53,Ensino Fundamental,1,Solteiro,Comércio
26,01/04/1998,Amapá,3359.49,Ensino Superior,4,Solteiro,Comércio
22,16/03/2002,Roraima,5012.02,Ensino Fundamental,2,Solteiro,Tecnologia
31,18/09/1992,Goiás,4730.76,Ensino Médio,0,Casado,Tecnologia
36,26/07/1987,Amapá,3858.2,Ensino Médio,1,Casado,Comércio
22,12/03/2002,Piauí,3316.72,Ensino Médio,0,Casado,Educação
21,19/01/2003,Pará,2319.74,Ensino Fundamental,0,Casado,Educação
50,29/04/1973,Mato Grosso do Sul,11498.57,Ensino Superior,2,Casado,Saúde
27,14/10/1996,Ceará,6340.9,Ensino Médio,2,Casado,Saúde
36,23/02/1988,Mato Grosso do Sul,7064.27,Ensino Superior,0,Casado,Saúde
21,14/05/2002,Rio Grande do Sul,4461.93,Ensino Superior,1,Solteiro,Saúde
39,23/09/1984,Roraima,13883.2,Ensino Superior,1,Casado,Tecnologia
52,21/08/1971,Rio de Janeiro,14627.64,Ensino Superior,0,Casado,Comércio
18,27/12/2005,Amazonas,3261.67,Ensino Superior,2,Casado,Educação
50,18/02/1974,Mato Grosso,16174.68,Ensino Superior,1,Casado,Comércio
32,11/03/1992,Mato Grosso,3141.51,Ensino Médio,2,Casado,Comércio
23,01/04/2001,Rondônia,4001.92,Ensino Superior,0,Casado,Indústria
29,13/05/1994,Acre,6817.69,Ensino Médio,0,Casado,Tecnologia
75,11/04/1949,Acre,4104.13,Ensino Médio,1,Divorciado,Comércio
62,29/05/1961,Rio Grande do Sul,11295.83,Ensino Médio,0,Casado,Tecnologia
27,26/09/1996,Santa Catarina,3803.36,Ensino Fundamental,1,Divorciado,Saúde
36,13/04/1987,Rio Grande do Sul,4974.06,Ensino Médio,0,Casado,Indústria
44,23/01/1980,Mato Grosso do Sul,7247.91,Ensino Médio,0,Solteiro,Tecnologia
50,11/04/1974,Amapá,5059.22,Ensino Médio,0,Casado,Tecnologia
64,28/08/1959,Acre,6610.37,Ensino Médio,2,Viúvo,Saúde
33,24/04/1990,Minas Gerais,4875.9,Ensino Médio,0,Casado,Saúde
58,05/03/1966,São Paulo,6828.98,Ensino Médio,1,Viúvo,Saúde
